Title	Description
Sanctimonia Conflict	The Sanctimonia Conflict was a battle fought by the Tome Keepers and other Imperial forces in 291.M37. Fought on the Ecclesiarchy world of Sanctimonia against the forces of Chaos, the entire Sector was set ablaze with heretical corruption. The Tome Keepers responded alongside a Black Templars Crusade, two Convents of Sisters of Battle, and eight Imperial Guard Regiments. However discord among the Imperial forces erupted on the Hive World of Gleb when Canoness Sophira of the Order of the Argent Shroud baulked at the presence of Tome Keepers Librarians. Her distrust of the psykers led to a much higher casualty rate than expected, particularly when telepathic communications from Eshuh were ignored by the Ecclesiarchy forces. Less than a year later, on the shrine world of Bespax, the Tome Keepers under Captain Saduq were forced to destroy a vast crypt containing the bodies of over 300 martyrs when a Warp portal was opened inside by Cultists. This act incensed the Ecclesiarchy. On the Civilised World of Happenstance the Tome Keepers were to join three Dephon Regiments in a combined assault on a Heretic-held city. However the Imperial Guard forces were accompanied by the Cardinal Palatine of Sanctimonia, Simonius Faulke, who ordered them to advance immediately rather than wait for the Space Marines expected Drop Pod assault. The Guardsmen were almost wiped out and the Tome Keepers were forced to abort their own mission. The Tome Keepers decried Faulke while he accused them of dereliction of duty. The final blow came when the Tome Keepers joined in the assault on Sanctimonia alongside the Black Templars and Sisters of Battle. However the Templars and Sisters made no distinction between heretic and civilian and conducted wanton massacres. This horrified the Tome Keepers, who would not forgive their allies for the butchery. This caused the Tome Keepers to depart from the warzone.
White Dwarf 349	White Dwarf 348 White Dwarf 177 White Dwarf 165 White Dwarf 157 White Dwarf 119 White Dwarf 349.
Terrax	Terrax is the homeworld of the Terrax Guard Imperial Guard Regiments. It is the site of a large Schola Progenium facility, the Schola Excubitos in which Imperial agents such as Commissars and Storm Troopers are trained.
Opus Macharius	Opus Macharius is a Forge World in the Calixis Sector. It is named after Lord Solar Macharius. It was claimed towards the end of the Angevin Crusade and is home to Legio Venator of the Adeptus Titanicus.
White Dwarf 307 (UK)	White Dwarf 306 White Dwarf 135 White Dwarf 123 White Dwarf 115 White Dwarf 77 White Dwarf 307 (July 2005)
Machar	The name or terMacharia was an Imperium militarized Hive World and the sixth planet of the Cadian System. It was destroyed by the forces of Chaos during the Thirteenth Black Crusade and later fell into the System's sun.
Salomine	Salomine is a planet on the edge of the Damocles Gulf, bordering Imperial space. It is unknown when it was first settled, but by the 930's.M41, Salomine was a Tau colony world. In 937.M41, a Chaos warband known as the Ravagers attacked Salomine. Underestimating the Tau defences, and thus being slowed down, an Imperial naval battlefleet had time to catch up with the warband. The warband was nearly wiped out (its remnants being finished off at Adumbria) by the combined firepower. In the end, however, the Tau's defences were weakened and the Imperial battlefleet had suffered little losses. It was then suggested that the planet was attacked by the battlefleet and now might currently belong to the Imperium.
Nachmund Sub-Sector	The Nachmund Gauntlet is a region of space in Segmentum Obscurus focused around the Nachmund Sub-Sector.[2a] Located near the remains of Cadia and the Eye of Terror, the Nachmund Gauntlet was for a time the only stable route through the dreaded Cicatrix Maledictum, making it strategically vital and a source for huge amounts of Imperial refugees.[3a] Later in the Indomitus Crusade, a second passage dubbed the Attilan Gate was also discovered. Currently, the both the northern and some of the southern end of the Nachmund Gauntlet is under siege by the Forces of Chaos though the Imperial succeeded in holding most of the region.[2a] During the Nachmund Rift War almost the entire northern region of the Gauntlet was lost to the Imperium, who now seeks to erect a defensive network known as the Sanctus Wall to block the invasion of the Black Legion under Haarken Worldclaimer. While many worlds north of the Sanctus Wall remain under Imperial control, they are essentially on their own to weather the coming storm.[3b] The situation for the Imperials worsened with the fall of most of Sangua Terra to the Chaos forces.
Malum (World)	Malum is an Imperial world, that was stricken with a rebellion caused by a Xenophile Cult and the Ferlian Seventh Regiment was sent to restore order. However, the Tyranids have now invaded the world and have begun to overrun Malum.
Drade-73	Drade-73 is an Imperium world that is noted for its surface being grimed with ash.
Owwen	Owwen is a Hive World that was the site of a battle involving Warmaster Ryse and his Deucalion Crusade.
Morrigar	Morrigar was an Imperial Hive World and also a Necron Tomb World. In 805.M41, battling Hive gangs accidentally awakened the Necron tombs hidden beneath Morrigar's surface. All contact was lost with the Hive World shortly thereafter. When the Cadian 207th Regiment arrived six months later, there was no trace of any inhabitants, human or otherwise. The Cadian 207th itself was then annihilated by the forces of the Necron Overlord Anrakyr the Traveller, who assumed the Cadians were responsible for the Tomb World's destruction.
Sekmet	Sekmet is a Gas Giant in the Calixis Sector. One of its moons, St. Astrid's Fall, is a frontier world of the Imperium. At some point before 710.M40, all of the inhabitants in an orbital above the planet are gone.
Dusk	Gods of the warp strike me down if I ever return to that place. Oh we landed hard and well armed; a score of us—killjacks and pirates every one. We took the cutter down to where the tip-off said the deal was happening… empty, nothing but rotten shacks… nothing! Then that devil fog rolled in and all hell broke loose. I made it out running blind—the screams and the laugher and the awful mocking things all around me! Could have been days, could have been hours, I don’t know… it was the old hag that dragged me out of the fog, and my left eye she took in payment, but at least I was gone from that haunted place! — The Heretic “Captain” Gadred Bayle, Interrogation Testimony Vol. 17[2a] Dusk is an Imperial Feral World,[1b] on the very edge of the Halo Stars.[2a] It is seen as accursed[1a] and is known for the extreme hostility of its native creatures. Amongst certain Rogue Traders and Chartist captains have “A walk on Dusk” become a byword for horrible and painful death.[1c] Dusk is a place of trackless fens, mist-drenched forests, and moss-shrouded wooded swamps. Theoretically a prime candidate for conversion to mass agriculture, but each attempt (going as far back as the days of Angevin’s crusade) has met with disaster, suffering and death, making the world’s very name synonymous with ill-omen, sinister mystery and folly.[2a]
Barbarus	Barbarus was the homeworld of the Death Guard prior to the Horus Heresy. It was the planet on which Mortarion landed; its atmospheric quality was so poor that even Mortarion could not breathe at the top of its mountains. Barbarus was a Feral World which orbited near its dim yellow sun. The atmosphere was thick with virulent gases and a constant fog was spread across the planet. This made it a very dark, dismal place of night with short, shadowy days. Only below the fog could humans survive, in the valleys and low plains. Deadly predators roamed the fog at night, forcing the humans to stay in their villages. At some point, the planet fell under the domination of the Overlords, cruel Xenos species. Able to resist Barbarus' poisons, the Overlords survived within the toxic cloud and built great grey keeps in the mountains. The Overlords began to use the humans as slaves and spread terror among them. After landing on the world, Mortarion eventually led the citizens of Barbarus in a revolt against the mountain ruler, toppling them before joining with the Emperor. On the surface of Barbarus was the Wall of Memory, where the names of every Space Marine of the Death Guard Legion killed during the Great Crusade were carved.
